"Date","Price","Open","High","Low","Change %"
"04/27/2011","107.07","107.07","107.07","107.07","-0.45%"
"04/26/2011","107.56","107.56","107.56","107.56","-0.47%"
"04/25/2011","108.06","108.06","108.06","108.06","-0.31%"
"04/22/2011","108.40","108.40","108.40","108.40","-0.14%"
"04/21/2011","108.55","108.55","108.55","108.55","-0.67%"
"04/20/2011","109.29","109.29","109.29","109.29","0.22%"
"04/19/2011","109.04","109.04","109.04","109.04","-1.35%"
"04/18/2011","110.53","110.53","110.53","110.53","3.61%"
"04/15/2011","106.68","106.68","106.68","106.68","-0.70%"
"04/14/2011","107.43","107.43","107.43","107.43","1.41%"
"04/13/2011","105.93","105.93","105.93","105.93","-0.23%"
"04/12/2011","106.18","106.18","106.18","106.18","1.91%"
"04/11/2011","104.20","104.20","104.20","104.20","0.95%"
"04/08/2011","103.22","103.22","103.22","103.22","-3.47%"
"04/07/2011","106.93","106.93","106.93","106.93","0.70%"
"04/06/2011","106.19","106.19","106.19","106.19","-1.72%"
"04/05/2011","108.05","108.05","108.05","108.05","-1.13%"
"04/04/2011","109.29","109.29","109.29","109.29","0.90%"
"04/01/2011","108.31","108.31","108.31","108.31","-2.77%"
"03/31/2011","111.40","111.40","111.40","111.40","-0.44%"
"03/30/2011","111.90","111.90","111.90","111.90","-1.85%"
"03/29/2011","114.01","114.01","114.01","114.01","-0.27%"
"03/28/2011","114.32","114.32","114.32","114.32","0.56%"
"03/25/2011","113.68","113.68","113.68","113.68","-0.76%"
"03/24/2011","114.55","114.55","114.55","114.55","-1.25%"
"03/23/2011","116.00","116.00","116.00","116.00","0.97%"
"03/22/2011","114.88","114.88","114.88","114.88","-0.01%"
"03/21/2011","114.89","114.89","114.89","114.89","-1.11%"
"03/18/2011","116.18","116.18","116.18","116.18","-1.16%"
"03/17/2011","117.55","117.55","117.55","117.55","-2.07%"
"03/16/2011","120.04","120.04","120.04","120.04","1.68%"
"03/15/2011","118.05","118.05","118.05","118.05","1.94%"
"03/14/2011","115.80","115.80","115.80","115.80","2.09%"
"03/11/2011","113.44","113.44","113.44","113.44","0.77%"
"03/10/2011","112.57","112.57","112.57","112.57","1.12%"
"03/09/2011","111.32","111.32","111.32","111.32","-0.56%"
"03/08/2011","111.94","111.94","111.94","111.94","-1.73%"
"03/07/2011","113.91","113.91","113.91","113.91","-0.78%"
"03/04/2011","114.80","114.80","114.80","114.80","0.55%"
"03/03/2011","114.18","114.18","114.18","114.18","-3.79%"
"03/02/2011","118.67","118.67","118.67","118.67","0.01%"
"03/01/2011","118.66","118.66","118.66","118.66","1.17%"
"02/28/2011","117.29","117.29","117.29","117.29","-0.43%"
"02/25/2011","117.79","117.79","117.79","117.79","-2.27%"
"02/24/2011","120.53","120.53","120.53","120.53","0.41%"
